ImgID,Detector,Descriptor,DetectorTime(ms),DescriptorTime(ms),VehicleKeypointsCount,VehicleKeypoints/TotalKeypoints(%),MatchedVehicleKeypointsCount,,TotalTime,
,,,,,,,,,
,,,,,,,,,
0,AKAZE,AKAZE,78.049,63.6715,162,11.9911,0,,141.721,
1,AKAZE,AKAZE,76.5465,63.9048,157,11.8312,135,,140.451,
2,AKAZE,AKAZE,73.6456,70.6181,159,12.1281,138,,144.264,
3,AKAZE,AKAZE,73.5847,69.9495,154,11.399,132,,143.534,
4,AKAZE,AKAZE,74.3387,59.3257,162,11.9118,126,,133.664,
5,AKAZE,AKAZE,78.8777,58.8425,163,12.101,128,,137.72,
6,AKAZE,AKAZE,74.0663,61.6752,173,12.6926,146,,135.741,
7,AKAZE,AKAZE,73.683,68.9757,175,13.148,147,,142.659,
8,AKAZE,AKAZE,74.352,61.568,175,12.8961,149,,135.92,
9,AKAZE,AKAZE,75.215,64.6286,175,13.148,148,,139.844,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,AKAZE,SIFT,68.416,24.0612,162,11.9911,0,,92.4772,
1,AKAZE,SIFT,74.9417,24.3385,157,11.8312,132,,99.2803,
2,AKAZE,SIFT,73.819,24.3057,159,12.1281,134,,98.1248,
3,AKAZE,SIFT,67.9919,24.2269,154,11.399,129,,92.2187,
4,AKAZE,SIFT,70.7573,24.197,162,11.9118,136,,94.9543,
5,AKAZE,SIFT,72.6943,26.4581,163,12.101,136,,99.1523,
6,AKAZE,SIFT,71.5822,25.2732,173,12.6926,147,,96.8554,
7,AKAZE,SIFT,69.3121,25.7686,175,13.148,147,,95.0807,
8,AKAZE,SIFT,75.6293,25.1358,175,12.8961,153,,100.765,
9,AKAZE,SIFT,79.0653,23.7815,175,13.148,149,,102.847,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SIFT,BRIEF,130.568,0.808089,137,9.52712,0,,131.376,
1,SIFT,BRIEF,131.842,0.766834,131,9.55507,86,,132.609,
2,SIFT,BRIEF,128.48,0.699331,121,8.76812,76,,129.18,
3,SIFT,BRIEF,130.8,0.764487,135,10.1124,72,,131.565,
4,SIFT,BRIEF,133.571,0.751073,134,10.2682,83,,134.322,
5,SIFT,BRIEF,128.771,0.791153,139,10.146,69,,129.562,
6,SIFT,BRIEF,131.832,0.782788,136,9.74212,75,,132.615,
7,SIFT,BRIEF,137.575,0.854893,147,10.6368,76,,138.43,
8,SIFT,BRIEF,133.302,0.85214,156,10.663,69,,134.154,
9,SIFT,BRIEF,129.127,0.763076,135,9.49367,87,,129.89,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,SIFT,FREAK,132.951,42.1132,137,9.52712,0,,175.065,
1,SIFT,FREAK,132.708,42.6057,131,9.55507,64,,175.314,
2,SIFT,FREAK,129.771,40.4015,121,8.76812,70,,170.173,
3,SIFT,FREAK,133.268,40.9931,135,10.1124,62,,174.261,
4,SIFT,FREAK,129.768,40.3257,134,10.2682,65,,170.093,
5,SIFT,FREAK,127.316,42.3637,139,10.146,59,,169.68,
6,SIFT,FREAK,128.004,39.9788,136,9.74212,60,,167.983,
